"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan-O-glucuronide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0,0,0
0,3,9.03399E-09,2.135953E-08,1.270449E-10
0,6,2.647809E-07,1.271329E-06,3.790426E-08
0,9,1.610728E-06,1.041113E-05,7.273866E-07
0,12,5.557909E-06,4.189501E-05,5.113993E-06
0,15,1.417023E-05,0.0001169829,2.14981E-05
0,18,2.984913E-05,0.0002608053,6.605457E-05
0,21,5.511763E-05,0.0004988936,0.0001642043
0,24,9.243728E-05,0.0008542762,0.0003502795
0,27,0.0001440617,0.00134553,0.0006656334
0,30,0.0002119258,0.001985801,0.001155717
0,33,0.0002975683,0.002782639,0.001866752
0,36,0.0004020875,0.003738384,0.002842542
0,39,0.0005261236,0.004850888,0.004121833
0,42,0.0006698663,0.006114345,0.005736392
0,45,0.0008330815,0.007520142,0.007709877
0,48,0.001015152,0.00905763,0.01005741
0,51,0.001215125,0.0107148,0.01278572
0,54,0.001431769,0.01247885,0.01589373
0,57,0.001663627,0.01433664,0.01937342
0,60,0.001909071,0.01627506,0.02321084
0,63,0.002166351,0.01828129,0.02738722
0,66,0.002433641,0.020343,0.03188
0,69,0.002709081,0.02244852,0.03666385
0,72,0.002990808,0.02458687,0.04171159
0,75,0.003276984,0.02674784,0.04699492
0,78,0.003565827,0.02892201,0.05248515
0,81,0.003855623,0.03110071,0.05815367
0,84,0.004144742,0.03327601,0.06397241
0,87,0.004431656,0.0354407,0.06991421
0,90,0.004714936,0.0375882,0.07595295
0,93,0.00499327,0.03971256,0.0820638
0,96,0.005265454,0.04180839,0.0882233
0,99,0.005530404,0.04387081,0.09440938
0,102,0.005787148,0.04589542,0.1006014
0,105,0.006034827,0.04787825,0.1067801
0,108,0.006272695,0.04981572,0.1129277
0,111,0.00650011,0.05170463,0.1190276
0,114,0.006716532,0.05354209,0.1250645
0,117,0.00692152,0.05532553,0.1310242
0,120,0.007114728,0.05705268,0.1368938
0,123,0.007295891,0.05872151,0.1426613
0,126,0.007464831,0.06033026,0.1483158
0,129,0.007621444,0.0618774,0.1538473
0,132,0.007765696,0.06336164,0.1592467
0,135,0.007897619,0.06478187,0.1645056
0,138,0.008017303,0.06613722,0.1696167
0,141,0.008124894,0.06742702,0.1745731
0,144,0.008220581,0.06865077,0.1793688
0,147,0.008304606,0.0698082,0.1839986
0,150,0.008377241,0.07089919,0.1884577
0,153,0.008438798,0.07192381,0.1927422
0,156,0.008489612,0.07288231,0.1968486
0,159,0.008530052,0.07377511,0.2007742
0,162,0.008560501,0.07460278,0.2045168
0,165,0.008581363,0.07536607,0.2080747
0,168,0.008593054,0.07606588,0.2114469
0,171,0.008596003,0.07670324,0.2146329
0,174,0.008590644,0.07727934,0.2176326
0,177,0.008577418,0.07779548,0.2204466
0,180,0.008556765,0.07825308,0.223076
0,183,0.008529127,0.0786537,0.225522
0,186,0.008494942,0.07899898,0.2277867
0,189,0.008454644,0.07929064,0.2298725
0,192,0.008408662,0.07953051,0.2317821
0,195,0.008357413,0.07972045,0.2335186
0,198,0.008301309,0.07986243,0.2350856
0,201,0.008240748,0.07995842,0.2364868
0,204,0.008176119,0.08001044,0.2377265
0,207,0.008107795,0.08002057,0.238809
0,210,0.008036141,0.07999085,0.239739
0,213,0.007961503,0.07992338,0.2405213
0,216,0.007884215,0.07982022,0.2411609
0,219,0.007804596,0.07968343,0.2416632
0,222,0.007722951,0.07951507,0.2420334
0,225,0.007639569,0.07931716,0.2422769
0,228,0.007554725,0.07909168,0.2423993
0,231,0.007468676,0.07884059,0.2424062
0,234,0.007381669,0.07856579,0.242303
0,237,0.007293934,0.07826914,0.2420954
0,240,0.007205684,0.07795244,0.2417889
0,243,0.007117123,0.07761744,0.2413891
0,246,0.007028438,0.07726583,0.2409013
0,249,0.006939803,0.07689925,0.2403311
0,252,0.00685138,0.07651924,0.2396836
0,255,0.006763318,0.07612731,0.2389641
0,258,0.006675755,0.0757249,0.2381777
0,261,0.006588814,0.07531336,0.2373292
