"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan-O-glucuronide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0,0,0
0,3,9.553098E-09,2.253384E-08,1.363688E-10
0,6,2.739293E-07,1.311009E-06,3.926837E-08
0,9,1.650783E-06,1.061718E-05,7.414193E-07
0,12,5.665208E-06,4.241413E-05,5.153388E-06
0,15,1.439408E-05,0.0001178107,2.147228E-05
0,18,3.025166E-05,0.0002615742,6.549786E-05
0,21,5.577566E-05,0.0004986496,0.000161833
0,24,9.344666E-05,0.0008512838,0.0003434116
0,27,0.0001455437,0.001337131,0.0006495696
0,30,0.0002140331,0.00196833,0.001123184
0,33,0.0003004908,0.002751401,0.001807478
0,36,0.0004060549,0.003687723,0.00274301
0,39,0.0005314082,0.004774261,0.00396526
0,42,0.0006767823,0.00600448,0.00550291
0,45,0.0008419827,0.007369181,0.007376894
0,48,0.001026426,0.008857287,0.009600035
0,51,0.001229189,0.01045655,0.01217729
0,54,0.001449064,0.0121541,0.01510644
0,57,0.001684611,0.01393685,0.01837892
0,60,0.001934211,0.01579186,0.02198082
0,63,0.002196118,0.01770663,0.02589386
0,66,0.002468501,0.01966923,0.03009643
0,69,0.002749491,0.02166844,0.03456455
0,72,0.003037208,0.02369381,0.03927266
0,75,0.003329796,0.02573571,0.04419434
0,78,0.003625444,0.0277853,0.04930291
0,81,0.003922411,0.02983453,0.05457191
0,84,0.004219036,0.03187609,0.05997548
0,87,0.004513753,0.03390336,0.06548864
0,90,0.0048051,0.03591039,0.0710875
0,93,0.005091725,0.0378918,0.07674936
0,96,0.005372388,0.03984281,0.08245283
0,99,0.005645965,0.04175906,0.08817784
0,102,0.005911447,0.04363656,0.09390564
0,105,0.006167939,0.0454719,0.09961877
0,108,0.006414656,0.04726208,0.105301
0,111,0.006650922,0.04900427,0.1109373
0,114,0.006876166,0.0506959,0.116514
0,117,0.007089913,0.05233489,0.1220181
0,120,0.007291787,0.05391937,0.127438
0,123,0.007481496,0.05544759,0.1327628
0,126,0.007658836,0.05691807,0.1379827
0,129,0.007823679,0.05832957,0.1430886
0,132,0.007975971,0.05968111,0.1480723
0,135,0.008115726,0.06097186,0.1529263
0,138,0.008243015,0.06220117,0.1576438
0,141,0.008357964,0.06336855,0.1622187
0,144,0.008460759,0.06447371,0.1666457
0,147,0.008551618,0.06551652,0.1709197
0,150,0.008630816,0.06649704,0.1750368
0,153,0.008698652,0.06741548,0.1789933
0,156,0.008755463,0.06827222,0.1827862
0,159,0.00880161,0.06906778,0.1864129
0,162,0.008837475,0.06980283,0.1898715
0,165,0.008863457,0.07047819,0.1931605
0,168,0.008879974,0.0710948,0.1962791
0,171,0.00888745,0.07165378,0.1992267
0,174,0.008886323,0.07215632,0.2020035
0,177,0.008877034,0.07260375,0.2046099
0,180,0.00886003,0.0729975,0.207047
0,183,0.008835756,0.07333911,0.2093162
0,186,0.008804657,0.0736302,0.2114192
0,189,0.008767173,0.07387247,0.2133583
0,192,0.008723737,0.0740677,0.2151361
0,195,0.008674774,0.07421771,0.2167555
0,198,0.008620703,0.07432438,0.2182197
0,201,0.008561929,0.07438963,0.2195324
0,204,0.008498847,0.07441541,0.2206973
0,207,0.008431842,0.07440366,0.2217185
0,210,0.008361282,0.07435637,0.2226004
0,213,0.008287523,0.07427549,0.2233475
0,216,0.008210909,0.07416299,0.2239643
0,219,0.008131765,0.07402083,0.2244557
0,222,0.008050405,0.0738509,0.2248265
0,225,0.007967127,0.07365512,0.2250819
0,228,0.007882211,0.07343534,0.2252268
