"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan-O-glucuronide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0,0,0
0,3,8.552616E-09,1.97986E-08,1.176493E-10
0,6,2.561389E-07,1.204089E-06,3.570316E-08
0,9,1.571534E-06,9.962353E-06,6.932016E-07
0,12,5.447495E-06,4.030592E-05,4.907021E-06
0,15,1.393E-05,0.0001129223,2.071982E-05
0,18,2.940505E-05,0.0002523444,6.386414E-05
0,21,5.438218E-05,0.0004835705,0.0001591507
0,24,9.131057E-05,0.0008292259,0.0003401787
0,27,0.0001424326,0.001307654,0.0006475276
0,30,0.0002096723,0.001931938,0.001125928
0,33,0.0002945591,0.002709712,0.001821006
0,36,0.0003981825,0.003643554,0.002776136
0,39,0.0005211768,0.004731625,0.004029849
0,42,0.0006637278,0.005968506,0.005613917
0,45,0.0008255995,0.007345993,0.007552219
0,48,0.001006174,0.008853842,0.009860211
0,51,0.0012045,0.01048045,0.01254506
0,54,0.001419348,0.01221341,0.01560626
0,57,0.001649268,0.01403992,0.0190364
0,60,0.001892636,0.01594715,0.02282218
0,63,0.002147709,0.01792256,0.0269454
0,66,0.002412667,0.01995403,0.03138405
0,69,0.002685656,0.02203004,0.03611329
0,72,0.002964819,0.02413975,0.04110634
0,75,0.003248327,0.02627307,0.04633526
0,78,0.003534403,0.02842062,0.05177158
0,81,0.003821341,0.03057379,0.0573869
0,84,0.004107518,0.03272466,0.06315328
0,87,0.004391412,0.03486602,0.06904358
0,90,0.004671603,0.0369913,0.07503169
0,93,0.004946785,0.0390945,0.08109275
0,96,0.005215763,0.04117024,0.08720323
0,99,0.005477459,0.04321358,0.09334094
0,102,0.005730909,0.04522001,0.09948514
0,105,0.005975265,0.04718555,0.1056164
0,108,0.006209787,0.04910666,0.1117168
0,111,0.00643384,0.05098008,0.1177695
0,114,0.006646896,0.05280279,0.1237592
0,117,0.006848522,0.05457219,0.1296715
0,120,0.007038379,0.056286,0.1354935
0,135,0.007805012,0.06395851,0.1628586
0,150,0.008269954,0.07003424,0.1865461
0,165,0.008461829,0.074475,0.2058834
0,180,0.008427953,0.07735316,0.2206029
0,195,0.008222467,0.0788303,0.23078
0,210,0.00789805,0.07912876,0.2367692
0,225,0.007500939,0.078499,0.2391236
0,240,0.007068612,0.07719005,0.2385064
0,255,0.006629364,0.07542786,0.2356068
0,270,0.006203047,0.07340263,0.2310759
0,285,0.005802419,0.07126386,0.2254839
0,300,0.005434684,0.06912119,0.2192991
0,315,0.005102983,0.06704892,0.2128831
0,330,0.004807671,0.06509263,0.2064984
0,345,0.004547328,0.06327622,0.2003229
0,360,0.00431951,0.06160845,0.1944668
0,375,0.004121264,0.06008824,0.1889906
0,390,0.003949468,0.05870856,0.183919
0,405,0.003801044,0.05745929,0.1792533
0,420,0.00367308,0.0563289,0.17498
0,435,0.003562895,0.05530565,0.1710768
0,450,0.003468069,0.05437819,0.1675169
0,465,0.003386441,0.05353593,0.1642719
0,480,0.003316107,0.05276917,0.1613133
0,495,0.003255398,0.05206919,0.1586137
0,510,0.003202859,0.0514282,0.1561473
0,525,0.00315723,0.05083926,0.1538902
0,540,0.003117424,0.05029628,0.1518206
0,555,0.003082503,0.04979386,0.1499187
0,570,0.00305166,0.04932726,0.1481667
0,585,0.003024207,0.04889232,0.1465484
0,600,0.00299955,0.04848538,0.1450495
0,615,0.002977185,0.04810322,0.1436573
0,630,0.00295668,0.04774301,0.1423601
0,645,0.002937665,0.04740226,0.1411479
0,660,0.002919826,0.04707875,0.1400115
0,675,0.002902895,0.04677056,0.1389428
0,690,0.002886645,0.04647595,0.1379346
0,705,0.00287088,0.0461934,0.1369804
0,720,0.002855438,0.04592156,0.1360744
0,735,0.002840176,0.04565921,0.1352115
0,750,0.002824979,0.04540529,0.1343872
0,765,0.002809746,0.04515881,0.1335971
0,780,0.002794392,0.04491893,0.1328376
0,795,0.002778848,0.04468486,0.1321055
0,810,0.002763055,0.04445592,0.1313975
0,825,0.002746966,0.04423145,0.1307111
0,840,0.00273054,0.0440109,0.1300438
0,855,0.002713745,0.04379376,0.1293933
0,870,0.002696557,0.04357956,0.1287577
0,885,0.002678955,0.04336787,0.1281351
0,900,0.002660926,0.04315832,0.1275238
0,915,0.002642461,0.04295056,0.1269223
