"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan-O-glucuronide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0,0,0
0,3,8.194608E-09,1.953324E-08,0
0,6,2.30593E-07,1.13597E-06,0
0,9,1.379063E-06,9.270067E-06,0
0,12,4.720385E-06,3.743163E-05,0
0,15,1.198869E-05,0.0001051786,0
0,18,2.521396E-05,0.0002362546,0
0,21,4.654757E-05,0.0004555336,0
0,24,7.811143E-05,0.0007862638,0
0,27,0.0001218743,0.001248031,0
0,30,0.0001795525,0.001855525,0
0,33,0.0002525405,0.002618105,0
0,36,0.0003418649,0.003539956,0
0,39,0.0004481626,0.004620589,0
0,42,0.0005716831,0.005855572,0
0,45,0.0007123051,0.007237357,0
0,48,0.0008695669,0.008756026,0
0,51,0.00104271,0.0104,0
0,54,0.001230724,0.01215666,0
0,57,0.001432394,0.01401285,0
0,60,0.001646348,0.01595528,0
0,63,0.001871098,0.01797084,0
0,66,0.002105083,0.02004684,0
0,69,0.002346705,0.02217117,0
0,72,0.002594356,0.02433243,0
0,75,0.002846449,0.02651997,0
0,78,0.003101435,0.02872394,0
0,81,0.003357823,0.0309353,0
0,84,0.003614192,0.03314574,0
0,87,0.003869202,0.03534772,0
0,90,0.004121603,0.03753437,0
0,93,0.004370237,0.03969951,0
0,96,0.004614044,0.04183753,0
0,99,0.004852058,0.04394336,0
0,102,0.005083418,0.0460124,0
0,105,0.005307354,0.04804058,0
0,108,0.005523191,0.0500243,0
0,111,0.005730347,0.05196029,0
0,114,0.005928328,0.05384551,0
0,117,0.006116724,0.05567739,0
0,120,0.006295202,0.05745364,0
0,123,0.00646351,0.05917228,0
0,126,0.00662146,0.06083157,0
0,129,0.006768935,0.06242997,0
0,132,0.006905877,0.06396623,0
0,135,0.007032283,0.06543924,0
0,138,0.007148204,0.0668482,0
0,141,0.007253739,0.06819247,0
0,144,0.007349027,0.06947161,0
0,147,0.007434247,0.07068539,0
0,150,0.007509611,0.07183376,0
0,153,0.007575364,0.07291684,0
0,156,0.007631775,0.07393491,0
0,159,0.007679136,0.07488844,0
0,162,0.007717758,0.07577807,0
0,165,0.007747971,0.0766046,0
0,168,0.007770115,0.07736896,0
0,171,0.007784543,0.07807223,0
0,174,0.007791611,0.07871565,0
0,177,0.007791686,0.07930055,0
0,180,0.007785133,0.07982837,0
0,183,0.00777232,0.0803007,0
0,186,0.007753613,0.08071918,0
0,189,0.007729376,0.08108556,0
0,192,0.007699966,0.08140169,0
0,195,0.007665737,0.08166943,0
0,198,0.007627035,0.08189075,0
0,201,0.007584197,0.08206762,0
0,204,0.007537551,0.08220205,0
0,207,0.007487417,0.08229609,0
0,210,0.007434102,0.08235178,0
0,213,0.007377904,0.08237118,0
0,216,0.007319108,0.08235636,0
0,219,0.007257987,0.08230933,0
0,222,0.007194804,0.08223212,0
0,225,0.007129807,0.08212671,0
0,228,0.007063235,0.08199507,0
0,231,0.006995311,0.08183908,0
0,234,0.00692625,0.08166064,0
0,237,0.006856252,0.08146156,0
0,240,0.006785505,0.08124358,0
0,243,0.006714187,0.08100843,0
0,246,0.006642465,0.08075775,0
0,249,0.006570492,0.08049311,0
0,252,0.006498414,0.08021606,0
0,255,0.006426364,0.07992801,0
0,258,0.006354465,0.07963037,0
0,261,0.006282832,0.07932446,0
0,264,0.00621157,0.07901152,0
0,267,0.006140774,0.07869273,0
0,270,0.006070531,0.07836922,0
0,273,0.006000922,0.07804203,0
0,276,0.005932018,0.07771213,0
0,279,0.005863884,0.07738046,0
0,282,0.005796577,0.07704785,0
0,285,0.005730149,0.07671513,0
0,288,0.005664645,0.07638299,0
0,291,0.005600104,0.07605214,0
0,294,0.00553656,0.07572318,0
0,297,0.005474044,0.07539668,0
0,300,0.00541258,0.07507317,0
0,303,0.005352188,0.0747531,0
0,306,0.005292885,0.0744369,0
0,309,0.005234684,0.07412493,0
0,312,0.005177593,0.07381755,0
0,315,0.005121621,0.07351504,0
0,318,0.005066769,0.07321765,0
0,321,0.00501304,0.07292563,0
0,324,0.004960431,0.07263914,0
0,327,0.00490894,0.07235837,0
0,330,0.00485856,0.07208343,0
0,333,0.004809285,0.07181444,0
0,336,0.004761106,0.07155148,0
0,339,0.004714013,0.07129461,0
0,342,0.004667994,0.07104388,0
0,345,0.004623036,0.07079931,0
0,348,0.004579127,0.0705609,0
0,351,0.004536251,0.07032865,0
0,354,0.004494395,0.07010254,0
0,357,0.004453541,0.06988254,0
0,360,0.004413674,0.0696686,0
0,363,0.004374776,0.06946067,0
0,366,0.004336831,0.06925867,0
0,369,0.004299822,0.06906256,0
0,372,0.004263729,0.06887225,0
0,375,0.004228537,0.06868765,0
0,378,0.004194226,0.06850868,0
0,381,0.004160778,0.06833525,0
0,384,0.004128176,0.06816726,0
0,387,0.0040964,0.06800462,0
0,390,0.004065434,0.06784723,0
0,393,0.004035259,0.06769498,0
0,396,0.004005856,0.06754777,0
0,399,0.003977209,0.0674055,0
0,402,0.0039493,0.06726806,0
0,405,0.003922111,0.06713534,0
0,408,0.003895625,0.06700725,0
0,411,0.003869825,0.06688368,0
0,414,0.003844694,0.06676451,0
0,417,0.003820215,0.06664965,0
0,420,0.003796373,0.066539,0
0,423,0.003773151,0.06643246,0
0,426,0.003750533,0.06632992,0
0,429,0.003728504,0.06623128,0
0,432,0.003707049,0.06613646,0
0,435,0.003686152,0.06604534,0
0,438,0.003665799,0.06595784,0
0,441,0.003645976,0.06587386,0
0,444,0.003626668,0.06579331,0
0,447,0.003607861,0.06571611,0
0,450,0.003589543,0.06564217,0
0,453,0.003571699,0.06557139,0
0,456,0.003554318,0.0655037,0
0,459,0.003537385,0.06543901,0
0,462,0.003520889,0.06537724,0
0,465,0.003504818,0.06531832,0
0,468,0.00348916,0.06526217,0
0,471,0.003473903,0.06520871,0
0,474,0.003459036,0.06515787,0
0,477,0.003444548,0.06510957,0
0,480,0.003430429,0.06506375,0
0,483,0.003416667,0.06502035,0
0,486,0.003403252,0.06497929,0
0,489,0.003390176,0.0649405,0
0,492,0.003377426,0.06490394,0
0,495,0.003364995,0.06486953,0
0,498,0.003352874,0.06483722,0
0,501,0.003341052,0.06480695,0
0,504,0.003329521,0.06477865,0
0,507,0.003318273,0.06475228,0
0,510,0.0033073,0.06472778,0
0,513,0.003296593,0.06470511,0
0,516,0.003286144,0.0646842,0
0,519,0.003275945,0.06466502,0
0,522,0.00326599,0.06464751,0
0,525,0.00325627,0.06463162,0
0,528,0.003246779,0.06461731,0
0,531,0.00323751,0.06460454,0
0,534,0.003228456,0.06459326,0
0,537,0.00321961,0.06458344,0
0,540,0.003210966,0.06457502,0
0,543,0.003202518,0.06456798,0
0,546,0.00319426,0.06456226,0
0,549,0.003186186,0.06455784,0
0,552,0.00317829,0.06455468,0
0,555,0.003170566,0.06455275,0
0,558,0.00316301,0.064552,0
0,561,0.003155616,0.06455241,0
0,564,0.003148378,0.06455394,0
0,567,0.003141292,0.06455656,0
0,570,0.003134353,0.06456025,0
0,573,0.003127557,0.06456496,0
