"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0,0
0,3,1.822025E-06,5.361494E-06
0,6,2.049743E-05,0.000116967
0,9,7.180858E-05,0.0005095879
0,12,0.0001679635,0.001281833
0,15,0.0003179824,0.002464059
0,18,0.0005272963,0.004042412
0,21,0.0007980344,0.005980034
0,24,0.00112952,0.008231392
0,27,0.001518784,0.01074929
0,30,0.001961061,0.01348793
0,33,0.002450263,0.01640421
0,36,0.002979405,0.01945835
0,39,0.003540996,0.02261436
0,42,0.00412735,0.02584028
0,45,0.004730863,0.02910726
0,48,0.005344224,0.03239084
0,51,0.005960553,0.03566978
0,54,0.006573519,0.03892586
0,57,0.007177401,0.04214315
0,60,0.007767119,0.0453086
0,63,0.008338253,0.04841101
0,66,0.00888703,0.0514407
0,69,0.009410297,0.05438958
0,72,0.009905485,0.05725084
0,75,0.01037058,0.06001867
0,78,0.01080406,0.06268823
0,81,0.01120488,0.06525546
0,84,0.01157241,0.06771702
0,87,0.01190636,0.07007013
0,90,0.01220678,0.07231262
0,93,0.01247399,0.07444275
0,96,0.01270859,0.07645927
0,99,0.01291133,0.07836131
0,102,0.01308318,0.0801485
0,105,0.01322524,0.0818208
0,108,0.01333871,0.08337855
0,111,0.0134249,0.08482243
0,114,0.01348518,0.08615349
0,117,0.01352097,0.08737312
0,120,0.01353372,0.08848307
0,123,0.01352488,0.08948537
0,126,0.01349593,0.09038237
0,129,0.01344833,0.09117673
0,132,0.0133835,0.09187139
0,135,0.01330285,0.09246957
0,138,0.01320775,0.09297471
0,141,0.01309953,0.09339044
0,144,0.01297946,0.09372054
0,147,0.01284879,0.09396903
0,150,0.01270866,0.09414008
0,153,0.01256022,0.09423789
0,156,0.01240451,0.09426662
0,159,0.01224253,0.09423057
0,162,0.01207523,0.09413416
0,165,0.01190348,0.09398174
0,168,0.01172812,0.09377744
0,171,0.0115499,0.09352542
0,174,0.01136954,0.09322979
0,177,0.01118769,0.09289461
0,180,0.01100496,0.0925237
0,183,0.01082189,0.09212072
0,186,0.01063899,0.09168923
0,189,0.01045672,0.09123269
0,192,0.01027548,0.09075435
0,195,0.01009566,0.0902572
0,198,0.00991758,0.08974413
0,201,0.009741532,0.08921787
0,204,0.009567779,0.08868095
0,207,0.009396546,0.08813571
0,210,0.009228028,0.08758429
0,213,0.009062395,0.08702868
0,216,0.008899789,0.08647075
0,219,0.008740326,0.08591212
0,222,0.008584104,0.0853543
0,225,0.008431198,0.08479863
0,228,0.008281665,0.08424632
0,231,0.008135547,0.08369843
0,234,0.00799287,0.0831559
0,237,0.007853646,0.08261953
0,240,0.007717877,0.08209004
0,243,0.007585552,0.08156799
0,246,0.007456651,0.08105391
0,249,0.007331147,0.08054818
0,252,0.007209006,0.08005115
0,255,0.007090185,0.07956305
0,258,0.006974638,0.07908409
0,261,0.006862314,0.07861439
0,264,0.006753157,0.07815403
0,267,0.006647109,0.07770304
0,270,0.006544109,0.07726141
