"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan-O-glucuronide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0,0,0
0,3,8.20218E-09,1.917702E-08,1.14223E-10
0,6,2.491039E-07,1.185348E-06,3.521351E-08
0,9,1.541463E-06,9.914957E-06,6.912027E-07
0,12,5.373281E-06,4.041237E-05,4.931267E-06
0,15,1.379435E-05,0.0001138079,2.094279E-05
0,18,2.920404E-05,0.0002552768,6.483459E-05
0,21,5.413429E-05,0.0004905542,0.0001621181
0,24,9.10641E-05,0.000842984,0.0003474508
0,27,0.0001422709,0.001331517,0.0006627916
0,30,0.0002097165,0.001969678,0.001154477
0,33,0.0002949681,0.002765358,0.001869839
0,36,0.0003991511,0.00372121,0.002853923
0,39,0.0005229312,0.004835323,0.004146778
0,42,0.0006665203,0.006102085,0.005781463
0,45,0.0008297024,0.007513009,0.007782838
0,48,0.001011872,0.009057513,0.01016703
0,51,0.001212084,0.01072363,0.01294156
0,54,0.001429111,0.01249857,0.01610599
0,57,0.001661494,0.01436915,0.01965274
0,60,0.001907601,0.01632218,0.02356809
0,63,0.002165674,0.0183448,0.02783329
0,66,0.002433876,0.02042458,0.03242565
0,69,0.002710331,0.02254974,0.03731955
0,72,0.002993162,0.02470919,0.04248741
0,75,0.003280518,0.02689264,0.04790043
0,78,0.003570596,0.02909053,0.05352932
0,81,0.003861666,0.0312941,0.05934485
0,84,0.004152083,0.03349531,0.06531831
0,87,0.0044403,0.03568684,0.07142179
0,90,0.004724874,0.03786202,0.07762852
0,93,0.005004475,0.04001481,0.08391295
0,96,0.005277889,0.04213975,0.09025093
0,99,0.005544015,0.04423184,0.09661974
0,102,0.00580187,0.04628652,0.1029981
0,105,0.006050587,0.04829978,0.1093661
0,108,0.006289406,0.05026808,0.1157052
0,111,0.006517678,0.05218809,0.1219984
0,114,0.006734857,0.05405675,0.1282298
0,117,0.006940497,0.0558714,0.1343847
0,120,0.007134242,0.05762979,0.1404496
0,123,0.007315827,0.05932985,0.1464122
0,126,0.00748507,0.06096974,0.1522609
0,129,0.007641864,0.06254783,0.1579855
0,132,0.007786174,0.06406276,0.1635763
0,135,0.007918032,0.06551333,0.1690247
0,138,0.008037527,0.06689864,0.1743229
0,141,0.008144806,0.06821795,0.1794637
0,144,0.008240065,0.06947072,0.1844407
0,147,0.00832354,0.07065661,0.1892484
0,150,0.008395511,0.07177544,0.1938818
0,153,0.00845629,0.07282723,0.1983365
0,156,0.00850622,0.07381215,0.202609
0,159,0.00854567,0.07473058,0.2066961
0,162,0.00857503,0.07558306,0.2105955
0,165,0.008594707,0.07637027,0.2143053
0,168,0.008605123,0.07709309,0.2178242
0,171,0.008606714,0.0777525,0.2211516
0,174,0.008599918,0.07834964,0.2242872
0,177,0.008585182,0.07888578,0.2272314
0,180,0.008562951,0.07936233,0.2299851
0,183,0.008533674,0.07978079,0.2325496
0,186,0.008497796,0.08014282,0.2349267
0,189,0.008455755,0.08045011,0.2371188
0,192,0.008407986,0.08070447,0.2391286
0,195,0.008354913,0.08090777,0.240959
0,198,0.008296954,0.08106195,0.2426137
0,201,0.008234511,0.081169,0.2440965
0,204,0.00816798,0.08123095,0.2454114
0,207,0.008097744,0.08124986,0.2465629
0,210,0.008024163,0.08122784,0.2475558
0,213,0.0079476,0.08116695,0.2483948
0,216,0.007868387,0.08106931,0.2490853
0,219,0.007786844,0.08093699,0.2496324
0,222,0.00770329,0.08077208,0.2500416
0,225,0.00761801,0.08057661,0.2503186
0,228,0.00753128,0.08035259,0.2504688
0,231,0.007443369,0.08010203,0.2504981
0,234,0.007354523,0.07982686,0.2504121
0,237,0.007264971,0.07952897,0.2502165
0,240,0.007174937,0.0792102,0.2499173
0,243,0.007084622,0.07887235,0.2495199
0,246,0.006994218,0.07851712,0.24903
0,249,0.006903902,0.0781462,0.2484533
0,252,0.006813838,0.07776117,0.2477951
0,255,0.006724176,0.07736357,0.2470609
0,258,0.006635055,0.07695486,0.2462559
0,261,0.006546603,0.07653645,0.2453853
0,264,0.006458933,0.07610966,0.244454
0,267,0.006372153,0.07567576,0.2434669
0,270,0.006286357,0.07523596,0.2424286
0,273,0.006201628,0.07479137,0.2413436
0,276,0.006118043,0.07434307,0.2402165
0,279,0.006035671,0.07389204,0.2390512
0,282,0.005954568,0.07343921,0.2378518
0,285,0.005874787,0.07298543,0.2366221
0,288,0.005796374,0.07253152,0.2353658
0,291,0.005719364,0.07207821,0.2340863
0,294,0.005643789,0.0716262,0.232787
0,297,0.005569675,0.07117613,0.231471
0,300,0.005497041,0.0707286,0.2301411
0,303,0.005425902,0.07028411,0.2288003
0,306,0.005356269,0.06984314,0.227451
0,309,0.005288148,0.06940611,0.2260958
0,312,0.005221541,0.0689734,0.2247368
0,315,0.005156447,0.06854535,0.2233763
0,318,0.005092862,0.06812227,0.2220161
0,321,0.005030778,0.06770443,0.2206582
0,324,0.004970185,0.06729208,0.2193041
0,327,0.004911073,0.06688541,0.2179555
0,330,0.004853425,0.0664846,0.2166138
0,333,0.004797225,0.06608978,0.2152803
0,336,0.004742456,0.06570107,0.2139561
0,339,0.004689098,0.06531855,0.2126424
0,342,0.004637131,0.0649423,0.2113401
0,345,0.004586532,0.06457239,0.2100501
0,348,0.004537278,0.06420884,0.2087732
0,351,0.004489347,0.06385168,0.2075101
0,354,0.004442715,0.06350089,0.2062613
0,357,0.004397355,0.06315646,0.2050275
0,360,0.004353242,0.06281837,0.2038092
0,363,0.004310353,0.06248659,0.2026066
0,366,0.004268659,0.06216106,0.2014202
0,369,0.004228136,0.06184174,0.2002502
0,372,0.004188756,0.06152858,0.199097
0,375,0.004150495,0.06122148,0.1979606
0,378,0.004113325,0.06092038,0.1968412
0,381,0.004077222,0.06062519,0.1957389
0,384,0.004042158,0.06033584,0.1946537
0,387,0.004008108,0.06005224,0.1935858
0,390,0.003975047,0.05977429,0.192535
0,393,0.003942949,0.05950189,0.1915014
0,396,0.00391179,0.05923496,0.190485
0,399,0.003881545,0.05897339,0.1894855
0,402,0.003852189,0.05871708,0.1885029
0,405,0.003823699,0.05846592,0.1875372
0,408,0.003796051,0.05821983,0.1865881
0,411,0.003769223,0.0579787,0.1856555
0,414,0.003743191,0.05774242,0.1847392
0,417,0.003717933,0.05751089,0.1838391
0,420,0.003693427,0.05728402,0.1829549
0,423,0.003669652,0.05706171,0.1820865
0,426,0.003646586,0.05684384,0.1812337
0,429,0.00362421,0.05663033,0.1803962
0,432,0.003602504,0.05642107,0.1795738
0,435,0.003581446,0.05621597,0.1787663
0,438,0.003561019,0.05601494,0.1779735
0,441,0.003541203,0.05581788,0.1771951
0,444,0.003521981,0.05562469,0.1764309
0,447,0.003503334,0.05543529,0.1756806
0,450,0.003485244,0.05524958,0.1749441
0,453,0.003467696,0.05506749,0.174221
