"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0,0
0,3,5.742295E-07,1.943079E-06
0,6,6.017933E-06,4.024992E-05
0,9,2.048078E-05,0.0001748893
0,12,4.690497E-05,0.0004475852
0,15,8.709908E-05,0.0008819832
0,18,0.0001417416,0.001485683
0,21,0.0002105787,0.002253809
0,24,0.0002926528,0.003173156
0,27,0.000386499,0.004225415
0,30,0.0004903168,0.005389425
0,33,0.0006021113,0.006642786
0,36,0.0007198068,0.007962947
0,39,0.0008413444,0.009327965
0,42,0.0009647536,0.01071714
0,45,0.001088207,0.01211144
0,48,0.001210053,0.01349364
0,51,0.00132884,0.01484852
0,54,0.001443323,0.0161629
0,57,0.001552463,0.01742562
0,60,0.001655426,0.01862748
0,63,0.001751565,0.01976111
0,66,0.00184041,0.0208209
0,69,0.001921647,0.02180276
0,72,0.001995103,0.02270407
0,75,0.002060729,0.02352345
0,78,0.00211858,0.02426065
0,81,0.002168801,0.02491639
0,84,0.002211609,0.02549222
0,87,0.002247282,0.02599039
0,90,0.002276144,0.02641373
0,93,0.002298553,0.02676552
0,96,0.002314896,0.0270494
0,99,0.002325571,0.02726929
0,102,0.002330987,0.02742928
0,105,0.002331556,0.02753358
0,108,0.002327685,0.02758643
0,111,0.002319774,0.02759206
0,114,0.00230821,0.02755467
0,117,0.002293369,0.02747833
0,120,0.002275607,0.027367
0,123,0.002255263,0.02722448
0,126,0.002232658,0.0270544
0,129,0.002208092,0.02686021
0,132,0.002181845,0.02664512
0,135,0.002154177,0.02641218
0,138,0.002125327,0.02616421
0,141,0.002095517,0.02590382
0,144,0.002064948,0.0256334
0,147,0.002033803,0.02535516
0,150,0.002002248,0.0250711
0,153,0.001970435,0.02478302
0,156,0.001938497,0.02449255
0,159,0.001906555,0.02420114
0,162,0.001874716,0.02391007
0,165,0.001843073,0.02362049
0,168,0.00181171,0.02333338
0,171,0.001780699,0.02304959
0,174,0.001750102,0.02276985
0,177,0.001719973,0.02249479
0,180,0.001690358,0.02222493
0,183,0.001661295,0.02196069
0,186,0.001632816,0.0217024
0,189,0.001604946,0.02145033
0,192,0.001577705,0.02120468
0,195,0.001551111,0.02096558
0,198,0.001525173,0.02073313
0,201,0.0014999,0.02050735
0,204,0.001475296,0.02028825
0,207,0.001451363,0.02007579
0,210,0.001428099,0.01986992
0,213,0.001405501,0.01967053
0,216,0.001383564,0.01947753
0,219,0.001362281,0.01929078
0,222,0.001341643,0.01911015
0,225,0.001321641,0.01893548
0,228,0.001302265,0.01876662
0,231,0.001283502,0.01860341
0,234,0.00126534,0.01844567
0,237,0.001247768,0.01829324
0,240,0.001230771,0.01814594
0,243,0.001214336,0.0180036
0,246,0.00119845,0.01786605
0,249,0.001183098,0.01773313
0,252,0.001168267,0.01760466
0,255,0.001153941,0.01748049
0,258,0.001140108,0.01736045
0,261,0.001126753,0.0172444
0,264,0.001113862,0.01713218
0,267,0.001101422,0.01702364
0,270,0.001089419,0.01691865
0,273,0.00107784,0.01681707
0,276,0.001066671,0.01671877
0,279,0.001055899,0.01662361
0,282,0.001045513,0.01653148
0,285,0.001035499,0.01644227
0,288,0.001025846,0.01635585
0,291,0.001016541,0.01627212
0,294,0.001007573,0.01619098
0,297,0.0009989316,0.01611232
0,300,0.0009906046,0.01603606
0,303,0.0009825816,0.01596209
0,306,0.0009748525,0.01589033
0,309,0.0009674068,0.01582069
0,312,0.0009602351,0.01575311
0,315,0.0009533275,0.01568748
0,318,0.000946675,0.01562375
0,321,0.0009402683,0.01556185
0,324,0.000934099,0.01550169
0,327,0.0009281586,0.01544323
0,330,0.0009224387,0.01538638
0,333,0.0009169315,0.01533111
0,336,0.0009116294,0.01527734
0,339,0.0009065247,0.01522503
0,342,0.0009016104,0.01517412
0,345,0.0008968795,0.01512455
0,348,0.0008923252,0.01507629
0,351,0.000887941,0.01502929
0,354,0.0008837206,0.01498349
0,357,0.0008796578,0.01493885
0,360,0.0008757468,0.01489535
0,363,0.0008719819,0.01485293
0,366,0.0008683575,0.01481156
0,369,0.0008648684,0.0147712
0,372,0.0008615094,0.01473181
0,375,0.0008582753,0.01469337
0,378,0.0008551616,0.01465584
0,381,0.0008521636,0.01461918
0,384,0.0008492767,0.01458338
0,387,0.0008464967,0.0145484
0,390,0.0008438193,0.01451421
0,393,0.0008412406,0.01448078
0,396,0.0008387566,0.0144481
0,399,0.0008363636,0.01441613
0,402,0.000834058,0.01438485
0,405,0.0008318362,0.01435425
0,408,0.0008296949,0.01432429
0,411,0.0008276308,0.01429495
0,414,0.0008256408,0.01426622
0,417,0.0008237219,0.01423808
0,420,0.0008218711,0.0142105
0,423,0.0008200856,0.01418347
0,426,0.0008183627,0.01415697
0,429,0.0008166997,0.01413099
0,432,0.0008150942,0.0141055
0,435,0.0008135437,0.01408049
0,438,0.0008120458,0.01405595
0,441,0.0008105983,0.01403186
0,444,0.0008091989,0.0140082
0,447,0.0008078457,0.01398497
0,450,0.0008065365,0.01396215
0,453,0.0008052695,0.01393973
0,456,0.0008040426,0.01391769
0,459,0.000802854,0.01389602
0,462,0.0008017021,0.01387472
0,465,0.0008005853,0.01385376
0,468,0.0007995016,0.01383314
0,471,0.0007984497,0.01381285
0,474,0.0007974281,0.01379288
0,477,0.0007964352,0.01377322
0,480,0.0007954698,0.01375386
0,483,0.0007945303,0.01373479
0,486,0.0007936156,0.01371599
0,489,0.0007927243,0.01369748
0,492,0.0007918553,0.01367922
0,495,0.0007910074,0.01366123
0,498,0.0007901795,0.01364348
0,501,0.0007893705,0.01362597
0,504,0.0007885793,0.0136087
0,507,0.0007878051,0.01359165
0,510,0.0007870467,0.01357482
0,513,0.0007863033,0.01355821
0,516,0.000785574,0.01354181
0,519,0.0007848578,0.0135256
0,522,0.0007841542,0.01350959
0,525,0.0007834621,0.01349378
0,528,0.0007827809,0.01347814
0,531,0.0007821097,0.01346268
0,534,0.000781448,0.0134474
0,537,0.0007807949,0.01343228
0,540,0.00078015,0.01341733
0,543,0.0007795125,0.01340253
0,546,0.0007788817,0.01338789
0,549,0.0007782572,0.0133734
0,552,0.0007776384,0.01335905
0,555,0.0007770247,0.01334484
0,558,0.0007764156,0.01333077
0,561,0.0007758106,0.01331683
0,564,0.0007752092,0.01330302
0,567,0.000774611,0.01328934
0,570,0.0007740156,0.01327577
0,573,0.0007734224,0.01326232
0,576,0.0007728311,0.01324899
0,579,0.0007722414,0.01323576
0,582,0.0007716527,0.01322265
0,585,0.0007710648,0.01320963
0,588,0.0007704773,0.01319672
0,591,0.0007698899,0.01318391
0,594,0.0007693022,0.01317119
0,597,0.000768714,0.01315856
0,600,0.0007681249,0.01314603
0,603,0.0007675347,0.01313358
0,606,0.000766943,0.01312121
0,609,0.0007663497,0.01310892
0,612,0.0007657545,0.01309672
0,615,0.0007651571,0.01308459
0,618,0.0007645573,0.01307254
0,621,0.0007639548,0.01306056
0,624,0.0007633496,0.01304865
0,627,0.0007627413,0.0130368
0,630,0.0007621298,0.01302503
0,633,0.0007615148,0.01301331
0,636,0.0007608962,0.01300166
0,639,0.0007602739,0.01299007
0,642,0.0007596476,0.01297854
0,645,0.0007590172,0.01296706
0,648,0.0007583827,0.01295563
0,651,0.0007577437,0.01294426
0,654,0.0007571002,0.01293295
0,657,0.0007564521,0.01292168
0,660,0.0007557991,0.01291045
0,663,0.0007551412,0.01289928
0,666,0.0007544783,0.01288814
0,669,0.0007538103,0.01287706
0,672,0.0007531371,0.01286601
0,675,0.0007524587,0.012855
0,678,0.0007517749,0.01284404
0,681,0.0007510856,0.01283311
0,684,0.0007503906,0.01282221
0,687,0.00074969,0.01281136
