"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0,0
0,3,4.462219E-07,4.172713E-06
0,6,4.377648E-06,8.654572E-05
0,9,1.411581E-05,0.0003704816
0,12,3.086369E-05,0.0009305719
0,15,5.495508E-05,0.001799349
0,18,8.598455E-05,0.00297599
0,21,0.000123035,0.004435727
0,24,0.0001648818,0.006139129
0,27,0.0002101438,0.008038787
0,30,0.0002574048,0.0100838
0,33,0.0003052955,0.01222291
0,36,0.0003525582,0.01440654
0,39,0.0003980926,0.0165885
0,42,0.000440978,0.01872722
0,45,0.0004804852,0.02078638
0,48,0.0005160766,0.02273547
0,51,0.0005473936,0.02454999
0,54,0.0005742384,0.02621135
0,57,0.0005965541,0.02770652
0,60,0.0006144022,0.02902772
0,63,0.0006279398,0.03017185
0,66,0.0006373966,0.03113991
0,69,0.0006430553,0.0319362
0,72,0.0006452348,0.0325678
0,75,0.0006442746,0.0330439
0,78,0.000640523,0.03337521
0,81,0.0006343264,0.03357344
0,84,0.0006260227,0.03365086
0,87,0.0006159348,0.03361994
0,90,0.0006043667,0.03349306
0,93,0.0005916008,0.03328222
0,96,0.0005778959,0.03299891
0,99,0.0005634869,0.03265399
0,102,0.0005485846,0.03225753
0,105,0.0005333758,0.03181886
0,108,0.0005180247,0.03134644
0,111,0.0005026736,0.03084796
0,114,0.0004874449,0.03033025
0,117,0.0004724421,0.0297994
0,120,0.0004577516,0.02926074
0,123,0.0004434444,0.0287189
0,126,0.0004295773,0.02817787
0,129,0.0004161952,0.02764102
0,132,0.0004033318,0.0271112
0,135,0.0003910114,0.02659075
0,138,0.0003792502,0.02608157
0,141,0.0003680572,0.02558516
0,144,0.0003574356,0.02510269
0,147,0.0003473833,0.024635
0,150,0.0003378946,0.02418271
0,153,0.0003289599,0.02374616
0,156,0.000320567,0.02332555
0,159,0.0003127016,0.0229209
0,162,0.0003053477,0.02253208
0,165,0.0002984881,0.02215889
0,168,0.0002921045,0.02180102
0,171,0.0002861783,0.02145808
0,174,0.0002806904,0.02112966
0,177,0.0002756214,0.02081528
0,180,0.0002709524,0.02051446
0,183,0.0002666642,0.02022669
0,186,0.0002627382,0.01995144
0,189,0.0002591561,0.01968819
0,192,0.0002559001,0.01943643
0,195,0.0002529527,0.01919565
0,198,0.0002502973,0.01896534
0,201,0.0002479177,0.01874502
0,204,0.0002457981,0.01853422
0,207,0.0002439236,0.01833248
0,210,0.0002422799,0.01813936
0,213,0.000240853,0.01795445
0,216,0.0002396299,0.01777735
0,219,0.0002385979,0.01760768
0,222,0.000237745,0.01744506
0,225,0.0002370597,0.01728916
0,228,0.0002365312,0.01713965
0,231,0.000236149,0.01699621
0,234,0.0002359033,0.01685856
0,237,0.0002357848,0.0167264
0,240,0.0002357844,0.01659948
0,243,0.0002358939,0.01647756
0,246,0.0002361052,0.01636037
0,249,0.0002364107,0.01624772
0,252,0.0002368033,0.01613938
0,255,0.0002372762,0.01603514
0,258,0.0002378229,0.01593483
0,261,0.0002384374,0.01583826
0,264,0.0002391141,0.01574527
0,267,0.0002398473,0.01565568
0,270,0.0002406322,0.01556935
0,273,0.0002414638,0.01548612
