"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,1,2.712813
0,2,7.82996
0,3,13.10678
0,4,18.25316
0,5,23.23368
0,6,28.03172
0,7,32.62999
0,8,37.01543
0,9,41.18186
0,10,45.12941
0,11,46.1504
0,12,44.56191
0,13,42.61943
0,14,40.62508
0,15,38.62687
0,16,36.6541
0,17,34.73645
0,18,32.89883
0,19,31.15878
0,20,29.52674
0,21,28.00739
0,22,26.6012
0,23,25.30577
0,24,24.11673
0,25,23.02843
0,26,22.03457
0,27,21.1285
0,28,20.30353
0,29,19.55306
0,30,18.87076
0,31,18.25059
0,32,17.68689
0,33,17.17439
0,34,16.70822
0,35,16.28392
0,36,15.89737
0,37,15.54485
0,38,15.22294
0,39,14.92856
0,40,14.65892
0,41,14.41149
0,42,14.18403
0,43,13.97447
0,44,13.781
0,45,13.60195
0,46,13.43584
0,47,13.28133
0,48,13.13724
0,49,13.00248
0,50,12.8761
0,51,12.75725
0,52,12.64517
0,53,12.53917
0,54,12.43864
0,55,12.34303
0,56,12.25187
0,57,12.1647
0,58,12.08112
0,59,12.0008
0,60,11.92342
0,61,11.84867
0,62,11.77632
0,63,11.70614
0,64,11.63792
0,65,11.57149
0,66,11.50669
0,67,11.44338
0,68,11.38143
0,69,11.32073
0,70,11.26118
0,71,11.20269
0,72,11.14517
0,73,11.08855
0,74,11.03276
0,75,10.97775
0,76,10.92344
0,77,10.8698
0,78,10.81678
0,79,10.76435
0,80,10.71246
0,81,10.66109
0,82,10.61021
0,83,10.55978
0,84,10.5098
0,85,10.46024
0,86,10.41107
0,87,10.36229
0,88,10.31387
0,89,10.2658
0,90,10.21808
0,91,10.17068
0,92,10.1236
0,93,10.07681
0,94,10.03034
0,95,9.984152
0,96,9.938244
0,97,9.892603
0,98,9.847226
0,99,9.802117
0,100,9.757261
0,101,9.712653
0,102,9.668284
0,103,9.62416
0,104,9.580272
0,105,9.536617
0,106,9.493192
0,107,9.449992
0,108,9.407017
0,109,9.364264
0,110,9.32173
0,111,9.279413
0,112,9.237311
0,113,9.195422
0,114,9.153743
0,115,9.112272
0,116,9.071007
0,117,9.029946
0,118,8.989088
0,119,8.94843
0,120,8.907969
0,121,8.867706
0,122,8.827638
0,123,8.787764
0,124,8.748081
0,125,8.708589
0,126,8.669286
0,127,8.630172
0,128,8.591244
0,129,8.552502
0,130,8.513945
0,131,8.47557
0,132,8.437378
0,133,8.399366
0,134,8.361536
0,135,8.323884
0,136,8.286409
0,137,8.249112
0,138,8.21199
0,139,8.175044
0,140,8.13827
0,141,8.101669
0,142,8.06524
0,143,8.028982
0,144,7.992893
0,145,7.956973
0,146,7.921221
0,147,7.885635
0,148,7.850215
0,149,7.814961
0,150,7.779871
0,151,7.744944
0,152,7.710179
0,153,7.675576
0,154,7.641133
0,155,7.60685
0,156,7.572726
0,157,7.53876
0,158,7.504951
0,159,7.4713
0,160,7.437804
0,161,7.404463
0,162,7.371276
0,163,7.338243
0,164,7.305362
0,165,7.272633
0,166,7.240055
0,167,7.207627
0,168,7.17535
0,169,7.143221
0,170,7.11124
0,171,7.079407
0,172,7.04772
0,173,7.016179
0,174,6.984784
0,175,6.953533
0,176,6.922425
0,177,6.891461
0,178,6.860639
0,179,6.829959
0,180,6.799421
0,181,6.769022
0,182,6.738763
0,183,6.708644
0,184,6.678662
0,185,6.648818
0,186,6.619111
0,187,6.58954
0,188,6.560104
0,189,6.530803
0,190,6.501635
0,191,6.472602
0,192,6.443703
0,193,6.414937
0,194,6.386302
0,195,6.357798
0,196,6.329425
0,197,6.301181
0,198,6.273067
0,199,6.24508
0,200,6.217222
0,201,6.18949
0,202,6.161885
0,203,6.134405
0,204,6.107049
0,205,6.079821
0,206,6.052717
0,207,6.025737
0,208,5.99888
0,209,5.972147
0,210,5.945534
0,211,5.919043
0,212,5.892673
0,213,5.866422
0,214,5.840291
0,215,5.814279
0,216,5.788384
0,217,5.762608
0,218,5.736948
0,219,5.711407
0,220,5.685982
0,221,5.660672
0,222,5.635478
0,223,5.610399
0,224,5.585433
0,225,5.560581
0,226,5.535843
0,227,5.511217
0,228,5.486702
0,229,5.462299
0,230,5.438008
0,231,5.413826
0,232,5.389755
0,233,5.365793
0,234,5.34194
0,235,5.318196
0,236,5.294559
0,237,5.27103
0,238,5.247608
0,239,5.224292
0,240,5.201082
0,241,5.177978
0,242,5.154979
0,243,5.132084
0,244,5.109294
0,245,5.086607
0,246,5.064023
0,247,5.041542
0,248,5.019163
0,249,4.996885
0,250,4.974709
0,251,4.952632
0,252,4.930657
0,253,4.908781
0,254,4.887004
0,255,4.865326
0,256,4.843747
0,257,4.822265
0,258,4.800881
0,259,4.779593
0,260,4.758403
0,261,4.737308
0,262,4.716309
0,263,4.695405
0,264,4.674596
0,265,4.653882
0,266,4.633261
0,267,4.612733
0,268,4.592299
0,269,4.571956
0,270,4.551706
0,271,4.531548
0,272,4.51148
0,273,4.491504
0,274,4.471618
0,275,4.451822
0,276,4.432116
0,277,4.412499
0,278,4.392971
0,279,4.37353
0,280,4.354178
0,281,4.334914
0,282,4.315736
0,283,4.296646
0,284,4.277641
0,285,4.258723
0,286,4.23989
0,287,4.221142
0,288,4.202479
0,289,4.1839
0,290,4.165405
0,291,4.146994
0,292,4.128666
0,293,4.110421
0,294,4.092258
0,295,4.074178
0,296,4.056179
0,297,4.038261
0,298,4.020425
0,299,4.002669
0,300,3.984993
0,301,3.967397
0,302,3.949881
0,303,3.932444
0,304,3.915085
0,305,3.897804
0,306,3.880602
0,307,3.863478
0,308,3.846431
0,309,3.82946
0,310,3.812567
0,311,3.795749
0,312,3.779007
0,313,3.762341
0,314,3.745751
0,315,3.729235
0,316,3.712793
0,317,3.696426
0,318,3.680132
0,319,3.663913
0,320,3.647766
0,321,3.631692
0,322,3.61569
0,323,3.599761
0,324,3.583903
0,325,3.568117
