"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Paroxetine|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.1001446
0,6,0.1164478
0,9,0.1284031
0,12,0.1391899
0,15,0.1491224
0,18,0.1583933
0,21,0.1671436
0,24,0.1754786
0,27,0.08332814
0,30,0.07471032
0,33,0.07016973
0,36,0.06656601
0,39,0.06361817
0,42,0.06116135
0,45,0.05907816
0,48,0.05728372
0,51,0.05571618
0,54,0.05432996
0,57,0.05309105
0,60,0.0519738
0,63,0.05095859
0,66,0.05003014
0,69,0.04917641
0,72,0.04838773
0,75,0.04765623
0,78,0.04697543
0,81,0.04633987
0,84,0.04574493
0,87,0.04518665
0,90,0.04466157
0,93,0.04416668
0,96,0.04369934
0,99,0.04325718
0,102,0.04283809
0,105,0.04244019
0,108,0.04206178
0,111,0.04170132
0,114,0.04135741
0,117,0.0410288
0,120,0.04071432
0,123,0.04041294
0,126,0.0401237
0,129,0.03984571
0,132,0.03957817
0,135,0.03932035
0,138,0.03907157
0,141,0.03883122
0,144,0.03859873
0,147,0.03837356
0,150,0.03815525
0,153,0.03794334
0,156,0.03773744
0,159,0.03753715
0,162,0.03734215
0,165,0.03715209
0,168,0.0369667
0,171,0.0367857
0,174,0.03660884
0,177,0.03643588
0,180,0.03626661
0,183,0.03610082
0,186,0.03593834
0,189,0.03577899
0,192,0.03562261
0,195,0.03546906
0,198,0.0353182
0,201,0.0351699
0,204,0.03502405
0,207,0.03488053
0,210,0.03473924
0,213,0.03460009
0,216,0.03446298
0,219,0.03432784
0,222,0.03419459
0,225,0.03406316
0,228,0.03393347
0,231,0.03380547
0,234,0.03367909
0,237,0.03355428
0,240,0.03343099
0,243,0.03330917
0,246,0.03318878
0,249,0.03306976
0,252,0.03295208
0,255,0.0328357
0,258,0.03272058
0,261,0.03260669
0,264,0.032494
0,267,0.03238248
0,270,0.0322721
0,273,0.03216282
0,276,0.03205463
0,279,0.03194749
0,282,0.03184139
0,285,0.03173629
0,288,0.03163219
0,291,0.03152906
0,294,0.03142687
0,297,0.03132562
0,300,0.03122527
0,303,0.03112582
0,306,0.03102725
0,309,0.03092954
0,312,0.03083267
0,315,0.03073663
0,318,0.03064141
0,321,0.03054699
0,324,0.03045336
0,327,0.03036051
0,330,0.03026841
0,333,0.03017707
0,336,0.03008647
0,339,0.02999659
0,342,0.02990742
0,345,0.02981896
0,348,0.0297312
0,351,0.02964412
0,354,0.02955771
